Name,Url
Волынский Александр Фомич,"https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D1%8B%D0%BD%D1%81%D0%BA%D0%B8%D0%B9,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%A4%D0%BE%D0%BC%D0%B8%D1%87"
Макрейр-Уилсон Патрик,https://en.wikipedia.org/wiki/Patrick_McNair-Wilson
Мандаганов Юрий Ендонович,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BD%D0%B4%D0%B0%D0%B3%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%95%D0%BD%D0%B4%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
Роза фон Праунхайм,https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B7%D0%B0_%D1%84%D0%BE%D0%BD_%D0%9F%D1%80%D0%B0%D1%83%D0%BD%D1%85%D0%B0%D0%B9%D0%BC
Подгорец Норман,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B4%D0%B3%D0%BE%D1%80%D0%B5%D1%86,_%D0%9D%D0%BE%D1%80%D0%BC%D0%B0%D0%BD"
Сергеев Анатолий Ипатович,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%98%D0%BF%D0%B0%D1%82%D0%BE%D0%B2%D0%B8%D1%87"
Стокс Дэвид,https://es.wikipedia.org/wiki/David_Stokes_Brown
Ступин Сергей Афанасьевич,"https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D1%83%D0%BF%D0%B8%D0%BD,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
Айева Зарифу,https://fr.wikipedia.org/wiki/Zarifou_Ay%C3%A9va
Андрианова Ирина Васильевна,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B8%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0,_%D0%98%D1%80%D0%B8%D0%BD%D0%B0_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0"
Ачмиз Казбек Гучипсович,"https://ru.wikipedia.org/wiki/%D0%90%D1%87%D0%BC%D0%B8%D0%B7,_%D0%9A%D0%B0%D0%B7%D0%B1%D0%B5%D0%BA_%D0%93%D1%83%D1%87%D0%B8%D0%BF%D1%81%D0%BE%D0%B2%D0%B8%D1%87"
Вилас Веданти Рам,https://en.wikipedia.org/wiki/Ram_Vilas_Vedanti
Горешовский Йозеф,"https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%B5%D1%88%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%99%D0%BE%D0%B7%D0%B5%D1%84"
Коцемир Виктор Францевич,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%86%D0%B5%D0%BC%D0%B8%D1%80,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D0%B5%D0%B2%D0%B8%D1%87"
Мишин Михаил Викторович,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D1%88%D0%B8%D0%BD,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
Уаттана Коуит,https://th.wikipedia.org/wiki/%E0%B9%82%E0%B8%81%E0%B8%A7%E0%B8%B4%E0%B8%97_%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B0

Хилькевич Владимир Павлович,"https://ru.wikipedia.org/w/index.php?title=%D0%A5%D0%B8%D0%BB%D1%8C%D0%BA%D0%B5%D0%B2%D0%B8%D1%87,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87&action=edit&redlink=1"
Хупсергенов Алибек Хамидбиевич,"https://ru.wikipedia.org/w/index.php?title=%D0%A5%D1%83%D0%BF%D1%81%D0%B5%D1%80%D0%B3%D0%B5%D0%BD%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B8%D0%B1%D0%B5%D0%BA_%D0%A5%D0%B0%D0%BC%D0%B8%D0%B4%D0%B1%D0%B8%D0%B5%D0%B2%D0%B8%D1%87&action=edit&redlink=1"
Ага Рияд Наасана,https://ar.wikipedia.org/wiki/%D8%B1%D9%8A%D8%A7%D8%B6_%D9%86%D8%B9%D8%B3%D8%A7%D9%86_%D8%A2%D8%BA%D8%A7
Гири Энтони,"https://ru.wikipedia.org/wiki/%D0%93%D0%B8%D1%80%D0%B8,_%D0%AD%D0%BD%D1%82%D0%BE%D0%BD%D0%B8"
Кичигин Георгий Петрович,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%87%D0%B8%D0%B3%D0%B8%D0%BD,_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
Копытько Виктор Николаевич,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BF%D1%8B%D1%82%D1%8C%D0%BA%D0%BE,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
Петрова Евгения Николаевна,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B0,_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D1%8F_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BD%D0%B0"
Райнер Мишель,"https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,_%D0%9C%D0%B8%D1%88%D0%B5%D0%BB%D1%8C"
Райнер Роб,"https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,_%D0%A0%D0%BE%D0%B1"
Суэёси Коити,https://ja.wikipedia.org/wiki/%E6%9C%AB%E5%90%89%E8%88%88%E4%B8%80
Упадхьяйя Амод Прасад,https://en.wikipedia.org/wiki/Amod_Prasad_Upadhyay
Шивашханкараппа Шаманур,https://en.wikipedia.org/wiki/Shamanuru_Shivashankarappa
Альтерио Эктор,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D1%8C%D1%82%D0%B5%D1%80%D0%B8%D0%BE,_%D0%AD%D0%BA%D1%82%D0%BE%D1%80"
Богза Анда-Луиза,https://en.wikipedia.org/wiki/Anda-Louise_Bogza
Джиронго Сайрус,https://en.wikipedia.org/wiki/Cyrus_Jirongo
Науменко Филипп Анатольевич,"https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%83%D0%BC%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%A4%D0%B8%D0%BB%D0%B8%D0%BF%D0%BF_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
О’Брайен Керри,https://en.wikipedia.org/wiki/Kerry_O%27Brien_(athlete)
Оганезов Левон Саркисович,"https://ru.wikipedia.org/wiki/%D0%9E%D0%B3%D0%B0%D0%BD%D0%B5%D0%B7%D0%BE%D0%B2,_%D0%9B%D0%B5%D0%B2%D0%BE%D0%BD_%D0%A1%D0%B0%D1%80%D0%BA%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87"
Руссо Бобби,"https://ru.wikipedia.org/wiki/%D0%A0%D1%83%D1%81%D1%81%D0%BE,_%D0%91%D0%BE%D0%B1%D0%B1%D0%B8"
Со Грегори,https://en.wikipedia.org/wiki/Gregory_So
Уотт Джеральд,https://en.wikipedia.org/wiki/Gerald_Watt
Фигейреду Эрнешту,"https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B3%D0%B5%D0%B9%D1%80%D0%B5%D0%B4%D1%83,_%D0%AD%D1%80%D0%BD%D0%B5%D1%88%D1%82%D1%83"
Фревиль Ив,https://fr.wikipedia.org/wiki/Yves_Fr%C3%A9ville
Шафик Мохаммад,"https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D1%84%D0%B8%D0%BA,_%D0%9C%D0%BE%D1%85%D0%B0%D0%BC%D0%BC%D0%B0%D0%B4"
Байер Мария Рэмовна,"https://ru.wikipedia.org/w/index.php?title=%D0%91%D0%B0%D0%B9%D0%B5%D1%80,_%D0%9C%D0%B0%D1%80%D0%B8%D1%8F_%D0%A0%D1%8D%D0%BC%D0%BE%D0%B2%D0%BD%D0%B0&action=edit&redlink=1"
Гига Степан Петрович,"https://ru.wikipedia.org/wiki/%D0%93%D0%B8%D0%B3%D0%B0,_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
Грин Питер,"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B8%D0%BD,_%D0%9F%D0%B8%D1%82%D0%B5%D1%80_(%D0%B0%D0%BA%D1%82%D1%91%D1%80)"
Евлампьев Вячеслав Нилович,"https://ru.wikipedia.org/wiki/%D0%95%D0%B2%D0%BB%D0%B0%D0%BC%D0%BF%D1%8C%D0%B5%D0%B2,_%D0%92%D1%8F%D1%87%D0%B5%D1%81%D0%BB%D0%B0%D0%B2_%D0%9D%D0%B8%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
Кон Артур,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BD,_%D0%90%D1%80%D1%82%D1%83%D1%80"
Кормилин Владимир Николаевич,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BC%D0%B8%D0%BB%D0%B8%D0%BD,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
Парамалингам Челлиах,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%B0%D0%BC%D0%B0%D0%BB%D0%B8%D0%BD%D0%B3%D0%B0%D0%BC,_%D0%A7%D0%B5%D0%BB%D0%BB%D0%B8%D0%B0%D1%85"
Патил Шиврадж,https://en.wikipedia.org/wiki/Shivraj_Patil
Ракоци Болеслав,https://pl.wikipedia.org/wiki/Boles%C5%82aw_Rakoczy
Суяргулов Мулиян Зияиитдинович,"https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D1%8F%D1%80%D0%B3%D1%83%D0%BB%D0%BE%D0%B2,_%D0%9C%D1%83%D0%BB%D0%B8%D1%8F%D0%BD_%D0%97%D0%B8%D1%8F%D0%B8%D0%B8%D1%82%D0%B4%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
Умер Магда,"https://ru.wikipedia.org/wiki/%D0%A3%D0%BC%D0%B5%D1%80,_%D0%9C%D0%B0%D0%B3%D0%B4%D0%B0"
Устюгов Геннадий Афанасьевич,"https://ru.wikipedia.org/wiki/%D0%A3%D1%81%D1%82%D1%8E%D0%B3%D0%BE%D0%B2,_%D0%93%D0%B5%D0%BD%D0%BD%D0%B0%D0%B4%D0%B8%D0%B9_%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
Фиггис Сьюзи,"https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B3%D0%B3%D0%B8%D1%81,_%D0%A1%D1%8C%D1%8E%D0%B7%D0%B8"
Шевцов Анатолий Егорович,"https://ru.wikipedia.org/wiki/%D0%A8%D0%B5%D0%B2%D1%86%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%95%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
Абадан-Унат Нермин,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%B4%D0%B0%D0%BD-%D0%A3%D0%BD%D0%B0%D1%82,_%D0%9D%D0%B5%D1%80%D0%BC%D0%B8%D0%BD"
Бакстер Стэнли,"https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%BA%D1%81%D1%82%D0%B5%D1%80,_%D0%A1%D1%82%D1%8D%D0%BD%D0%BB%D0%B8"
Броварец Владимир Сергеевич,"https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%BE%D0%B2%D0%B0%D1%80%D0%B5%D1%86,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
Ким Ву Нам,https://ko.wikipedia.org/wiki/%EA%B9%80%EC%9A%B0%EB%82%A8
Мванги Меджа,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B2%D0%B0%D0%BD%D0%B3%D0%B8,_%D0%9C%D0%B5%D0%B4%D0%B6%D0%B0"
Мхагама Джениста,https://en.wikipedia.org/wiki/Jenista_Mhagama
Прядко Олег Борисович,"https://ru.wikipedia.org/w/index.php?title=%D0%9F%D1%80%D1%8F%D0%B4%D0%BA%D0%BE,_%D0%9E%D0%BB%D0%B5%D0%B3_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87&action=edit&redlink=1"
Синицын Сергей Вячеславович,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BD%D0%B8%D1%86%D1%8B%D0%BD,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%92%D1%8F%D1%87%D0%B5%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%B8%D1%87"
